Team,Off. Zone Time,GP,Minor Penalties
ANA,39.2%,68,336
ARI,39.9%,68,269
BOS,41.3%,69,269
BUF,40.9%,69,240
CGY,41.8%,68,243
CAR,46.7%,68,248
CHI,39.6%,68,216
COL,42.3%,68,249
CBJ,39.9%,68,228
DAL,42.1%,69,217
DET,41.2%,68,261
EDM,44.0%,65,242
FLA,44.9%,68,300
LAK,41.1%,67,241
MIN,42.2%,68,262
MTL,40.1%,67,264
NSH,43.6%,68,225
NJD,40.8%,68,230
NYI,39.6%,67,216
NYR,41.9%,68,224
OTT,40.9%,66,241
PHI,42.2%,68,252
PIT,42.2%,67,223
SEA,41.6%,67,211
SJS,37.5%,67,242
STL,40.7%,68,199
TBL,41.5%,67,232
TOR,41.6%,66,221
VAN,42.9%,68,233
VGK,41.5%,67,193
WSH,38.2%,67,228
WPG,42.1%,67,208
